title,img_src,product_detail_link,original_price,discount_price,screen_size,resolution
SamsungSmart Tivi UA55AU7002,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30655/smart-tivi-sams_main_677_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-55-inch-ua55au7002,10999000,6999000,55 inch,4K
LGSmart Tivi 43UQ7050PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_33963/smart-tivi-lg-4_main_649_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-43-inch-43uq7050psa,10900000,7990000,43 inch,4K
ToshibaGoogle Tivi 4K 50 inch 50C350LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35415/google-tivi-tos_main_423_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-toshiba-4k-50-inch-50c350lp,12890000,8390000,50 inch,4K
LGSmart Tivi OLED48B4PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34721/smart-tivi-lg-o_main_696_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-oled-4k-48-inch-oled48b4psa,31900000,17990000,48 inch,4K
CoocaaSmart TV 32S3U+,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34611/smart-tv-hd-coo_main_165_450.png.webp,https://dienmaycholon.com/tivi/smart-tv-hd-coocaa-32-inch-32s3u,5990000,2399000,32 inch,HD
ToshibaGoogle Tivi 50M550LP,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/google-tivi-qled-toshiba-4k-50-inch-50m550lp,12990000,7390000,50 inch,4K
LGSmart Tivi 65UT7350PSB,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tivi-lg-4k-65-inch-65ut7350psb,16900000,7390000,65 inch,4K
CoocaaSmart TV 43S3U+,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tv-full-hd-coocaa-43-inch-43s3u,7990000,3790000,43 inch,Full HD
LGSmart Tivi NanoCell 55NANO76SQA,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-55-inch-55nano76sqa,22900000,3790000,55 inch,4K
ToshibaSmart Tivi 75C350NP,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tivi-toshiba-4k-75-inch-75c350np,22990000,3790000,75 inch,4K
SamsungSmart Tivi UA75DU7700,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34281/smart-tivi-sams_main_217_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-75-inch-ua75du7700,27400000,3790000,75 inch,4K
LGSmart Tivi 50UQ7050PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34892/smart-tivi-lg-4_main_666_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-50-inch-50uq7050psa,11900000,7990000,50 inch,4K
ToshibaSmart Tivi 43E31MP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35079/smart-tivi-tosh_main_838_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-toshiba-full-hd-43-inch-43e31mp,6490000,7990000,43 inch,Full HD
CasperSmart Tivi 32 Inch 32HG5200,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_24812/smart-tivi-casp_main_462_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-casper-32-inch-32hg5200,5990000,3490000,32 inch,HD
CasperAndroid Tivi QLED 4K 55 Inch 55QG8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29844/android-tivi-ql_main_180_450.png.webp,https://dienmaycholon.com/tivi/android-tivi-qled-4k-casper-55-inch-55qg8000,15990000,5999000,55 inch,4K
ToshibaSmart Tivi 55X9900LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35552/smart-tivi-oled_main_53_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-oled-toshiba-4k-55-inch-55x9900lp,35990000,14990000,55 inch,4K
ToshibaSmart Tivi 65X9900LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35553/smart-tivi-oled_main_275_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-oled-toshiba-4k-65-inch-65x9900lp,45990000,33990000,65 inch,4K
LGSmart Tivi NanoCell 65NANO76SQA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30460/smart-nanocell-_main_713_450.png.webp,https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-65-inch-65nano76sqa,29900000,33990000,65 inch,4K
SonyGoogle Tivi XR-65X90L,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32849/google-tivi-son_main_967_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-sony-4k-65-inch-xr65x90l,37000000,33990000,65 inch,4K
TCLGoogle Tivi 98C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34362/google-tivi-tcl_main_6_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-98-inch-98c655,69900000,33990000,98 inch,4K
SamsungSmart Tivi UA98DU9000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34273/smart-tivi-4k-9_main_247_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-4k-98-inch-samsung-ua98du9000,98900000,33990000,98 inch,4K
SamsungSmart Tivi QA55Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34270/smart-tivi-qled_main_229_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q60d,17900000,1000,55 inch,4K
TCLGoogle Tivi 55P638,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_31050/google-tivi-tcl_main_706_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-55-inch-55p638,10490000,7990000,55 inch,4K
TCLGoogle Tivi 43C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34369/google-tivi-tcl_main_558_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-43-inch-43c655,9990000,7990000,43 inch,4K
SamsungSmart Tivi UA43AU7002,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30657/smart-tivi-sams_main_533_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-43-inch-ua43au7002,8400000,7190000,43 inch,4K
TCLSmart Tivi 43S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35355/smart-tivi-tcl-_main_465_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-full-hd-43-inch-43s5400a,6590000,5590000,43 inch,Full HD
TCLGoogle Tivi 55P755 Pro,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34209/google-tivi-tcl_main_563_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-55-inch-55p755-pro,12490000,9990000,55 inch,4K
TCLSmart Tivi 40S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32858/smart-tivi-tcl-_main_923_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-full-hd-40-inch-40s5400a,5090000,5090000,40 inch,Full HD
SonyBRAVIA 3 K-43S30,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34473/google-tivi-son_main_583_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-43-inch-k43s30,15690000,5090000,43 inch,4K
TCLSmart Tivi 32S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32857/smart-tivi-tcl-_main_15_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-hd-32-inch-32s5400a,4590000,4090000,32 inch,HD
SamsungSmart Tivi QA65Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34269/smart-tivi-qled_main_849_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-65-inch-qa65q60d,21900000,15990000,65 inch,4K
SamsungSmart Tivi UA55DU8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34277/smart-tivi-sams_main_196_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-55-inch-ua55du8000,15290000,15290000,55 inch,4K
SonyBRAVIA 3 K-55S30,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34471/sony-bravia-3-l_main_568_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-55-inch-k55s30,19990000,15290000,55 inch,4K
TCLGoogle Tivi 55C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34367/google-tivi-tcl_main_300_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-55-inch-55c655,13990000,10990000,55 inch,4K
TCLGoogle Tivi 65P755 Pro,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34210/google-tivi-tcl_main_452_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-65-inch-65p755-pro,15490000,11490000,65 inch,4K
SamsungSmart Tivi UA65DU8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34276/smart-tivi-sams_main_433_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-65-inch-ua65du8000,18400000,18400000,65 inch,4K
SonyGoogle Tivi 4K 55 Inch KD-55X75K,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30193/google-tivi-son_main_453_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-sony-4k-55-inch-kd55x75k,16500000,16500000,55 inch,4K
LGSmart Tivi 55UT8050PSB,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34490/smart-tivi-lg-4_main_20_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-55-inch-55ut8050psb,16900000,11890000,55 inch,4K
SonyBRAVIA 3 K-50S30,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34472/google-tivi-son_main_504_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-50-inch-k50s30,17900000,11890000,50 inch,4K
TCLGoogle Tivi 65C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34366/google-tivi-tcl_main_672_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-65-inch-65c655,17990000,13590000,65 inch,4K
LGSmart Tivi NanoCell 43NANO81TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34482/smart-tivi-nano_main_14_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-nanocell-lg-4k-43-inch-43nano81tsa,13900000,10890000,43 inch,4K
LGSmart Tivi 65UT8050PSB,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34491/smart-tivi-lg-4_main_747_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-65-inch-65ut8050psb,19900000,12690000,65 inch,4K
SamsungSmart Tivi QA55Q70D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34266/smart-tivi-qled_main_590_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q70d,20490000,20490000,55 inch,4K
SamsungSmart Tivi UA65AU7002,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30654/smart-tivi-sams_main_928_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-65-inch-ua65au7002,13900000,12490000,65 inch,4K
SonyBRAVIA 3 K-65S30,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34470/google-tivi-son_main_171_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-65-inch-k65s30,24120000,12490000,65 inch,4K
LGSmart Tivi 43QNED80TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34475/smart-tivi-qned_main_333_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-43-inch-43qned80tsa,15900000,11590000,43 inch,4K
LGSmart Tivi 43UT8050PSB,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34488/smart-tivi-lg-4_main_777_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-43-inch-43ut8050psb,11900000,9390000,43 inch,4K
SharpAndroid Tivi 42 inch 2T-C42EG2X,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_31888/android-tivi-sh_main_282_450.png.webp,https://dienmaycholon.com/tivi/android-tivi-sharp-42-inch-2tc42eg2x,6990000,5990000,42 inch,Full HD
SonyGoogle Tivi XR-55X90L,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32712/google-tivi-son_main_232_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-sony-4k-55-inch-xr55x90l,31700000,5990000,55 inch,4K
PanasonicGoogle Tivi TH-43MX650V,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34092/google-tivi-pan_main_11_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-panasonic-4k-43-inch-th43mx650v,13000000,9990000,43 inch,4K
HisenseSmart Tivi 40A4N,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34703/smart-tivi-hise_main_25_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-hisense-full-hd-40-inch-40a4n,6190000,9990000,40 inch,Full HD
LGSmart Tivi 55QNED80TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34477/smart-tivi-qned_main_163_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-55-inch-55qned80tsa,22900000,16590000,55 inch,4K
LGSmart Tivi NanoCell 65NANO81TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34485/smart-tivi-nano_main_812_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-nanocell-lg-4k-65-inch-65nano81tsa,23900000,16390000,65 inch,4K
LGSmart Tivi 55UQ7050PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34447/smart-tivi-lg-4_main_789_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-55-inch-55uq7050psa,14900000,9890000,55 inch,4K
SamsungTivi Led 32 Inch UA32T4202A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_31581/tivi-led-samsun_main_924_450.png.webp,https://dienmaycholon.com/tivi/tivi-led-samsung-32-inch-ua32t4202a,5390000,5390000,32 inch,HD
TCLGoogle Tivi 75P755 Pro,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34211/google-tivi-tcl_main_503_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-75-inch-75p755-pro,20990000,14990000,75 inch,4K
LGSmart Tivi NanoCell 55NANO81TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34484/smart-tivi-nano_main_403_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-nanocell-lg-4k-55-inch-55nano81tsa,18900000,13890000,55 inch,4K
SamsungSmart Tivi QA65Q70D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34265/smart-tivi-qled_main_871_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-65-inch-qa65q70d,24490000,24490000,65 inch,4K
LGSmart Tivi 55QNED86TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34439/smart-tivi-qned_main_642_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-55-inch-55qned86tsa,27900000,17590000,55 inch,4K
XiaomiGoogle Tivi A L43MA-AFSEA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35062/google-tivi-xia_main_239_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-xiaomi-a-full-hd-43-inch-l43maafsea,6490000,5490000,43 inch,Full HD
HisenseGoogle Tivi 43U6K,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34002/google-tivi-ule_main_780_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-uled-hisense-4k-43-inch-43u6k,11990000,7490000,43 inch,4K
LGSmart Tivi 65QNED86TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34440/smart-tivi-qned_main_706_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-65-inch-65qned86tsa,34900000,23990000,65 inch,4K
SamsungSmart Tivi QA43Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34272/smart-tivi-qled_main_998_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-43-inch-qa43q60d,12900000,11290000,43 inch,4K
SonyBRAVIA 8 K-55XR80,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34685/google-tivi-ole_main_660_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-8-oled-4k-55-inch-k55xr80,48900000,11290000,55 inch,4K
LGSmart Tivi 65QNED80TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34478/smart-tivi-qned_main_40_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qned-lg-4k-65-inch-65qned80tsa,29900000,17590000,65 inch,4K
HisenseSmart Tivi 32A4N,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34702/smart-tivi-hise_main_646_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-hisense-hd-32-inch-32a4n,4790000,3990000,32 inch,HD
XiaomiGoogle Tivi L32M8-P2SEA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_33194/google-tivi-xia_main_747_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-xiaomi-a-hd-32-inch-l32m8p2sea,4490000,3990000,32 inch,HD
HisenseGoogle Tivi 43A6500K,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34573/google-tivi-his_main_998_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-hisense-4k-43-inch-43a6500k,8290000,6490000,43 inch,4K
SamsungSmart Tivi QA75Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34268/smart-tivi-qled_main_833_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-75-inch-qa75q60d,33900000,27890000,75 inch,4K
SonyGoogle Tivi 4K 50 Inch KD-50X80K,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29988/google-tivi-son_main_630_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-sony-4k-50-inch-kd50x80k,18200000,27890000,50 inch,4K
